date,season,year,month,hour,holiday,week_day,working_day,weather_situation,temp_norm,feels_like_temp_norm,humidity_norm,wind_speed,casual,registered,num_rentals,temp_x_humidity,temp_x_wind_speed,temp_feel_diff,hour_category_afternoon,hour_category_evening,hour_category_morning,hour_category_night
2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,0.19440000000000002,0.0,0.0479,0,0,0,1
2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,0.17600000000000002,0.0,0.0527,0,0,0,1
2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,0.17600000000000002,0.0,0.0527,0,0,0,1
2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,0.18,0.0,0.0479,0,0,0,1
2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,0.18,0.0,0.0479,0,0,0,1
2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,0.18,0.021504,0.017600000000000005,0,0,0,1
2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,0.17600000000000002,0.0,0.0527,0,0,1,0
2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,0.17200000000000001,0.0,0.057599999999999985,0,0,1,0
2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,0.18,0.0,0.0479,0,0,1,0
2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,0.2432,0.0,0.02849999999999997,0,0,1,0
2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,0.2888,0.09640599999999999,0.013899999999999968,0,0,1,0
2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,0.2916,0.102096,-0.0267,0,0,1,0
2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,0.3234,0.11911200000000001,0.004200000000000037,1,0,0,0
2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,0.3312,0.13731,-0.005500000000000005,1,0,0,0
2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,0.3312,0.13045600000000002,-0.005500000000000005,1,0,0,0
2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,0.3388,0.13133999999999998,-0.0005999999999999894,1,0,0,0
2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,0.3444,0.12536999999999998,0.004200000000000037,1,0,0,0
2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,0.36079999999999995,0.124784,-0.0005999999999999894,0,1,0,0
2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,0.3696,0.10655399999999998,0.004200000000000037,0,1,0,0
2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,0.3696,0.10655399999999998,0.004200000000000037,0,1,0,0
2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,0.34800000000000003,0.10148,0.009099999999999997,0,1,0,0
2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,0.34800000000000003,0.0776,0.009099999999999997,0,0,0,1
2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,0.376,0.08956,0.009099999999999997,0,0,0,1
2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,0.4048,0.13731,-0.005500000000000005,0,0,0,1
2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,0.4048,0.13731,-0.005500000000000005,0,0,0,1
2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,0.41359999999999997,0.11162799999999999,-0.0005999999999999894,0,0,0,1
2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,0.42,0.11911200000000001,0.004200000000000037,0,0,0,1
2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,0.4324,0.08924,-0.005500000000000005,0,0,0,1
2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,0.4324,0.08924,-0.005500000000000005,0,0,0,1
2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,0.3234,0.12536999999999998,0.004200000000000037,0,0,1,0
2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,0.30400000000000005,0.0776,0.009099999999999997,0,0,1,0
2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,0.284,0.08956,0.009099999999999997,0,0,1,0
2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,0.2888,0.08508199999999999,0.013899999999999968,0,0,1,0
2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,0.2916,0.080604,-0.01150000000000001,0,0,1,0
2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,0.2556,0.091332,-0.0267,0,0,1,0
2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,0.2376,0.10745999999999999,-0.0267,1,0,0,0
2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,0.2376,0.048348,-0.01150000000000001,1,0,0,0
2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,0.2736,0.06984,-0.01150000000000001,1,0,0,0
2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,0.27540000000000003,0.05582800000000001,-0.006700000000000039,1,0,0,0
2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,0.2414,0.05582800000000001,-0.006700000000000039,1,0,0,0
2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,0.1938,0.06596,-0.006700000000000039,0,1,0,0
2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,0.1656,0.11822400000000001,-0.0267,0,1,0,0
2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,0.1344,0.143296,-0.03210000000000002,0,1,0,0
2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,0.11699999999999999,0.10746,-0.02729999999999999,0,1,0,0
2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,0.1144,0.08538400000000002,-0.03270000000000001,0,0,0,1
2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,0.1056,0.07164,-0.02789999999999998,0,0,0,1
2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,0.10339999999999999,0.036124,0.007300000000000001,0,0,0,1
